category,image_url,name,original_price,price,product_exists,product_url,scraped_at,sku
bon-cau,https://product.hstatic.net/1000238289/product/ms857dt84x_29719125851841af9eb03a9b20d06d89_medium.png,Bồn cầu 1 khối MS857DT8 kèm nắp đóng êm TC600VS,,"9,151,000₫",True,https://tototuantu.vn/products/bon-cau-1-khoi-ms857dt8-kem-nap-dong-em-tc600vs,2025-04-08 16:59:45,
bon-cau,https://product.hstatic.net/1000238289/product/ms857dt104x_54fca2b766ad4ee580a005b2bc398143_medium.png,Bồn cầu một khối MS857DT10 kèm nắp đóng êm TV395VS,,"8,500,000₫",True,https://tototuantu.vn/products/bon-cau-mot-khoi-ms857dt10-kem-nap-dong-em-tv395vs,2025-04-08 16:59:52,
