name,product_url,price,original_price,image_url,sku,category
Sen tắm nóng lạnh TOTO TTMR302V,https://tototuantu.vn/products/sen-tam-nong-lanh-toto-ttmr302v,"2,932,800₫","3,760,000₫",https://product.hstatic.net/1000238289/product/ttmr302v_635b978547ef4ab19fe4992e5821ceb8_medium.jpeg,,sen-tam
Bát sen cầm tay TOTO TBW01010B2#PG mạ vàng,https://tototuantu.vn/products/bat-sen-cam-tay-toto-tbw01010b2-pg-ma-vang,"3,824,496₫","4,903,200₫",https://product.hstatic.net/1000238289/product/anh_chup_man_hinh_2024-04-06_luc_13.52.38_1b40f539bfca4e92806d01e211c8de8d_medium.png,,sen-tam
Van gật gù điều chỉnh nóng lạnh GA TBG04303BB,https://tototuantu.vn/products/van-gat-gu-dieu-chinh-nong-lanh-ga-tbg04303bb,"4,539,600₫","5,820,000₫",https://product.hstatic.net/1000238289/product/tbg04303bb_mbl_f7e8a26d90e74326bdc8138270b04a0f_medium.jpg,,sen-tam
Van gật gù điều chỉnh nóng lạnh GR kèm nút chuyển hướng TBG02304BB,https://tototuantu.vn/products/van-gat-gu-dieu-chinh-nong-lanh-gr-kem-nut-chuyen-huong-tbg02304bb,"7,378,800₫","9,460,000₫",https://product.hstatic.net/1000238289/product/tbg02304bb_mbl_a90e728335634a74b03656c01e239bb9_medium.jpg,,sen-tam
Van gật gù điều chỉnh nóng lạnh GR TBG02303BB,https://tototuantu.vn/products/van-gat-gu-dieu-chinh-nong-lanh-gr-tbg02303bb,"3,549,000₫","4,550,000₫",https://product.hstatic.net/1000238289/product/tbg02303ba_61d80575036d4fa1bc1d6316f5404b1d_medium.jpg,,sen-tam
Bộ sen cây nóng lạnh TBW02001BA/TBG02302VA/TBW02006A,https://tototuantu.vn/products/bo-sen-cay-nong-lanh-tbw02001ba-tbg02302va-tbw02006a,"18,447,200₫","23,059,000₫",https://product.hstatic.net/1000238289/product/tbw02001ba__0atbg02302va_0a_tbw02006a_4x_7fb146ae3b2d4788aa465ae8f2831a2e_medium.png,,sen-tam
Bộ sen cây nóng lạnh TBW02001BA/TBG04302VA/TBW02005A,https://tototuantu.vn/products/bo-sen-cay-nong-lanh-tbw02001ba-tbg04302va-tbw02005a,"16,954,400₫","21,193,000₫",https://product.hstatic.net/1000238289/product/tbw02001ba__0d_0atbg04302va__0d_0atbw02005a_4x_4921f2cf603d48f9ba9a062a612b8c35_medium.png,,sen-tam
Van gật gù điều chỉnh nóng lạnh TBG04304BA,https://tototuantu.vn/products/van-gat-gu-dieu-chinh-nong-lanh-tbg04304ba,"6,637,800₫","8,510,000₫",https://product.hstatic.net/1000238289/product/l-5_82349795b25745c4afbbd1dadbed4756_medium.jpg,,sen-tam
Gá sen kèm cút nối tường dòng G dáng tròn - TBW07021A,https://tototuantu.vn/products/ga-sen-kem-cut-noi-tuong-dong-g-dang-tron-tbw07021a,"1,505,400₫","1,930,000₫",https://product.hstatic.net/1000238289/product/anh_chup_man_hinh_2023-02-17_luc_11.08.10_4d0edd298e1148c08a9494a620476eeb_medium.png,,sen-tam
Cút nối tường TBW07020A,https://tototuantu.vn/products/cut-noi-tuong-tbw07020a,"881,400₫","1,130,000₫",https://product.hstatic.net/1000238289/product/anh_chup_man_hinh_2023-02-17_luc_11.03.45_83226c198105476895584303eee3cd8b_medium.png,,sen-tam
Gác sen kèm cút nối tường - TBW08010A,https://tototuantu.vn/products/gac-sen-kem-cut-noi-tuong-tbw08010a,"1,505,400₫","1,930,000₫",https://product.hstatic.net/1000238289/product/anh_chup_man_hinh_2023-02-17_luc_11.01.46_c04ded48f8be48fb9772c37e66f9ebaa_medium.png,,sen-tam
Cút nối tường - TBW08009A,https://tototuantu.vn/products/cut-noi-tuong-tbw08009a,"881,400₫","1,130,000₫",https://product.hstatic.net/1000238289/product/cut-noi-tuong-toto-tbw08009a-500x500_2f6bcb57be0440cca23c99fccb049bb7_medium.jpg,,sen-tam
Bát sen massage 3 chế độ TBW02006A,https://tototuantu.vn/products/bat-sen-massage-3-che-do-tbw02006a,"3,002,220₫","3,849,000₫",https://product.hstatic.net/1000238289/product/tbw02006a_f87bce09c8f444909ee46864659e3ba3_medium.jpg,,sen-tam
Bát sen mạ TBW02017A,https://tototuantu.vn/products/bat-sen-ma-tbw02017a,"3,545,880₫","4,546,000₫",https://product.hstatic.net/1000238289/product/tbw02017a_0b976c7abca247e789339bbc470c1c68_medium.jpg,,sen-tam
Thân sen cây TBW02002BA 2 chế độ massage,https://tototuantu.vn/products/than-sen-cay-tbw02002ba-2-che-do-massage,"11,551,800₫","14,810,000₫",https://product.hstatic.net/1000238289/product/tbw02002ba_005090f835f94e55924dc194e4ca0a19_medium.jpg,,sen-tam
bát sen TBW07011A,https://tototuantu.vn/products/bat-sen-tbw07011a,"1,033,500₫","1,325,000₫",https://product.hstatic.net/1000238289/product/tbw07011_1_ad122c06e7c24f5e97a37d930dad926a_medium.jpg,,sen-tam
Bát sen TBW07008A,https://tototuantu.vn/products/bat-sen-tbw07008a,"1,194,960₫","1,532,000₫",https://product.hstatic.net/1000238289/product/tbw07008.jpg.pagespeed.ce.06ixgxmk3v_c4e5467f4c9d4603884b6d4c1cdf47f7_medium.jpg,,sen-tam
Sen cây nhiệt độ TBW01402AA,https://tototuantu.vn/products/sen-cay-nhiet-do-tbw01402aa,"16,988,400₫","21,780,000₫",https://product.hstatic.net/1000238289/product/tbw01402aa_1.jpg.pagespeed.ce.nk4yycodd6_2ad5715320ec41189f9a06dc5592904a_medium.jpg,,sen-tam
Sen cây nhiệt độ TX454SFV2BRN,https://tototuantu.vn/products/sen-cay-nhiet-do-tx454sfv2brn,"19,905,600₫","25,520,000₫",https://product.hstatic.net/1000238289/product/xtx454sfv2brs.jpg.pagespeed.ic.nbbjiru87i_e2d56e65283e4d719b12add0d24bcd54_medium.jpg,,sen-tam
Thanh Trượt Sen Tắm TOTO TBW07019A 740mm,https://tototuantu.vn/products/thanh-truot-sen-tam-toto-tbw07019a-740mm,"1,723,800₫","2,210,000₫",https://product.hstatic.net/1000238289/product/tbw07019a.jpg.pagespeed.ce.haplccr_qw_3764853776c84751b95a277cf9d26993_medium.jpg,,sen-tam
Thanh Trượt Sen Tắm TOTO TBW07018A 950mm,https://tototuantu.vn/products/thanh-truot-sen-tam-toto-tbw07018a-950mm,"1,903,200₫","2,440,000₫",https://product.hstatic.net/1000238289/product/tbw07018a_cec2097b21c841b9a059b440e520f95f_medium.jpg,,sen-tam
Đầu Phun Sen Âm Tường TOTO TBW07017A 2 Chế Độ,https://tototuantu.vn/products/dau-phun-sen-am-tuong-toto-tbw07017a-2-che-do,"2,191,800₫","2,810,000₫",https://product.hstatic.net/1000238289/product/tbw07017b.jpg.pagespeed.ce.mszuqjrkn-_ced0bc38016a47f98a5b787506de2c46_medium.jpg,,sen-tam
Đầu Phun Sen Âm Tường TOTO TBW08008A 1 Chế Độ,https://tototuantu.vn/products/dau-phun-sen-am-tuong-toto-tbw08008a-1-che-do,"4,048,200₫","5,190,000₫",https://product.hstatic.net/1000238289/product/tbw08008.jpg.pagespeed.ce._cdly78s8o_68350a8730c14cfda62a5da997e3c8e7_medium.jpg,,sen-tam
Tay Sen TOTO TBW07012A 3 Chế Độ 90mm,https://tototuantu.vn/products/tay-sen-toto-tbw07012a-3-che-do-90mm,"1,194,960₫","1,532,000₫",https://product.hstatic.net/1000238289/product/tbw07009.jpg.pagespeed.ce.tqpmulpkv8_4b39d84f8c504088a41e2b753ca4f939_medium.jpg,,sen-tam
Tay Sen TOTO TBW07009A 3 Chế Độ 110mm,https://tototuantu.vn/products/tay-sen-toto-tbw07009a-3-che-do-110mm,"1,370,460₫","1,757,000₫",https://product.hstatic.net/1000238289/product/tbw07009.jpg.pagespeed.ce.tqpmulpkv8_a6fe54f764224e84ab4fd9badb097bb6_medium.jpg,,sen-tam
Bát sen gắn trần TOTO TBW07001A1 Tròn 200mm Dòng G,https://tototuantu.vn/products/bat-sen-gan-tran-toto-tbw07001a1-tron-200mm-dong-g,"5,772,000₫","7,400,000₫",https://product.hstatic.net/1000238289/product/tbw07001a1_7fe20a4510fb404283550a530fe778dd_medium.jpg,,sen-tam
Bát sen gắn trần TOTO TBW07002A1 Tròn 250mm Dòng G,https://tototuantu.vn/products/bat-sen-gan-tran-toto-tbw07002a1-tron-250mm-dong-g,"7,620,600₫","9,770,000₫",https://product.hstatic.net/1000238289/product/tbw07002a1_3dcfabbd39734c5fb21b1fd484b5cd5f_medium.jpg,,sen-tam
Bát sen gắn trần TOTO TBW07003A1 Tròn 300mm Dòng G,https://tototuantu.vn/products/bat-sen-gan-tran-toto-tbw07003a1-tron-300mm-dong-g,"9,461,400₫","12,130,000₫",https://product.hstatic.net/1000238289/product/tbw07003a1.jpg.pagespeed.ce.hi5bigpcee_bf4cab06d6964779a95312c888216607_medium.jpg,,sen-tam
Bát sen gắn tường TOTO TBW07001A Tròn 200mm Dòng G,https://tototuantu.vn/products/bat-sen-gan-tuong-toto-tbw07001a-tron-200mm-dong-g,"6,076,200₫","7,790,000₫",https://product.hstatic.net/1000238289/product/tbw07001a_c516eaac4526437f9ecc1ebe880260d1_medium.jpg,,sen-tam
