name,product_url,price,original_price,image_url,sku,category
Bộ điều khiển vòi xịt xà phòng tự động TLK01103AA,https://tototuantu.vn/products/bo-dieu-khien-voi-xit-xa-phong-tu-dong-tlk01103aa,"18,166,200₫","23,290,000₫",https://product.hstatic.net/1000238289/product/8____20_4a33107133a8445a957a92a1ad0659d6_medium.png,,thiet-bi-ve-sinh-khu-cong-cong
Bộ điều khiển vòi xịt xà phòng tự động TLK01102AA,https://tototuantu.vn/products/bo-dieu-khien-voi-xit-xa-phong-tu-dong-tlk01102aa,"15,061,800₫","19,310,000₫",https://product.hstatic.net/1000238289/product/8____21_129ef3ad844745b1894f70433cac02b0_medium.png,,thiet-bi-ve-sinh-khu-cong-cong
Bộ Điều Khiển Vòi Xịt Xà Phòng TOTO TLK01101AA Tự Động Pin,https://tototuantu.vn/products/bo-dieu-khien-voi-xit-xa-phong-tu-dong-tlk01101aa,"12,402,000₫","15,900,000₫",https://product.hstatic.net/1000238289/product/8____22_3bc4f321593943158fd5d5b9fa87101a_medium.png,,thiet-bi-ve-sinh-khu-cong-cong
Vòi Xịt Xà Phòng TOTO TLK09001G Tự Động,https://tototuantu.vn/products/voi-xit-xa-phong-tu-dong-tlk09001g,"5,670,600₫","7,270,000₫",https://product.hstatic.net/1000238289/product/8____23_a407047ccb4044d9aba58cfc6556453e_medium.png,,thiet-bi-ve-sinh-khu-cong-cong
Vòi Xịt Xà Phòng TOTO TLK08003G Tự Động Thân Cao,https://tototuantu.vn/products/voi-xit-xa-phong-tu-dong-tlk08003g,"12,402,000₫","15,900,000₫",https://product.hstatic.net/1000238289/product/8____24_1d76612b0e2a4306824d5cccd2551627_medium.png,,thiet-bi-ve-sinh-khu-cong-cong
Vòi Xịt Xà Phòng TOTO TLK08002G Tự Động Thân Vừa,https://tototuantu.vn/products/nhan-ban-tu-voi-xit-xa-phong-tu-dong-tlk08002g,"11,333,400₫","14,530,000₫",https://product.hstatic.net/1000238289/product/8____25_3c425295703e494e8f90ff9bd0c4b224_medium.png,,thiet-bi-ve-sinh-khu-cong-cong
Vòi Xịt Xà Phòng TOTO TLK08001G Tự Động,https://tototuantu.vn/products/voi-xit-xa-phong-tu-dong-tlk08001g,"7,800,000₫","10,000,000₫",https://product.hstatic.net/1000238289/product/anh_17_0f707c7dd3da4158a9ffc43d370af0bc_medium.png,,thiet-bi-ve-sinh-khu-cong-cong
Vòi Xịt Xà Phòng TOTO TLK07003G Tự Động Thân Cao,https://tototuantu.vn/products/voi-xit-xa-phong-tu-dong-tlk07003g,"10,186,800₫","13,060,000₫",https://product.hstatic.net/1000238289/product/8____26_24be98c6cdd64d13bdb302d65ad0e9cd_medium.png,,thiet-bi-ve-sinh-khu-cong-cong
Vòi Xịt Xà Phòng TOTO TLK07002G Tự Động Thân Vừa,https://tototuantu.vn/products/voi-xit-xa-phong-tu-dong-tlk07002g,"9,305,400₫","11,930,000₫",https://product.hstatic.net/1000238289/product/8____27_d15b2f2ba60747528d6d017e59a2353a_medium.png,,thiet-bi-ve-sinh-khu-cong-cong
Vòi Xịt Xà Phòng TOTO TLK07001G Tự Động,https://tototuantu.vn/products/voi-xit-xa-phong-tu-dong-tlk07001g,"6,380,400₫","8,180,000₫",https://product.hstatic.net/1000238289/product/anh_5_3f5b5042b87640cc9b4c6c749bf2072c_medium.png,,thiet-bi-ve-sinh-khu-cong-cong
Thanh tay vịn (dành cho tiểu nam) T114CU22R#MLA T110D3R(x4),https://tototuantu.vn/products/thanh-tay-vin-danh-cho-tieu-nam-t114cu22r-mla-t110d3r-x4,"16,356,600₫","20,970,000₫",https://product.hstatic.net/1000238289/product/2407_9a5ef568ec1d48fc9065bd78be39d845_medium.jpg,,thiet-bi-ve-sinh-khu-cong-cong
Van cảm ứng tiểu nam âm tường TTUE602DN kèm ống nối HS376TT,https://tototuantu.vn/products/van-cam-ung-tieu-nam-am-tuong-ttue602dn-kem-ong-noi-hs376tt,"7,530,900₫","9,655,000₫",https://product.hstatic.net/1000238289/product/ttue602an_0ahs376tt_34f764b6f5ee449f9a679706fc6b5236_medium.png,,thiet-bi-ve-sinh-khu-cong-cong
Van cảm ứng tiểu nam âm tường TTUE602AN kèm ống nối HS376TT,https://tototuantu.vn/products/van-cam-ung-tieu-nam-am-tuong-ttue602an-kem-ong-noi-hs376tt,"8,388,900₫","10,755,000₫",https://product.hstatic.net/1000238289/product/ttue602an_0ahs376tt_e6a1e22b782d40138a63dcea07a36b9b_medium.png,,thiet-bi-ve-sinh-khu-cong-cong
