categories,category,image_url,name,original_price,price,product_exists,product_url,scraped_at,sku,sku_array,title
"Khu công cộng, Tiểu nam",thiet-bi-ve-sinh-khu-cong-cong,https://product.hstatic.net/1000238289/product/due126upk_c0abaeaf709942189591cf97cb320c5d_468d0ca0382d47f78288c5402dbdca07_medium.jpg,Van cảm ứng tiểu nam DUE126UPK,"7,790,000₫","6,076,200₫",True,https://tototuantu.vn/products/van-cam-ung-tieu-nam-due126upk-1,2025-04-10 15:12:58,DUE126UPK,DUE126UPK,Van cảm ứng tiểu nam DUE126UPK
"Khu công cộng, Tiểu nam",thiet-bi-ve-sinh-khu-cong-cong,https://product.hstatic.net/1000238289/product/uswn925ae_r1_66654ca7bf5741b0929c202524f3bf88_medium.jpeg,Bồn Tiểu Nam TOTO USWN925AEV Cảm Ứng Điện 220V 0.5L,"24,980,000₫","19,484,400₫",True,https://tototuantu.vn/products/tieu-nam-treo-tuong-tich-hop-van-xa-tu-dong-uswn925aev,2025-04-10 15:14:25,USWN925AEV#XW,USWN925AEV#XW,Bồn Tiểu Nam TOTO USWN925AEV Cảm Ứng Điện 220V 0.5L
"Khu công cộng, Sản phẩm khác",thiet-bi-ve-sinh-khu-cong-cong,https://product.hstatic.net/1000238289/product/th.toto.com-wh005a-wh005a_d14ca73a66d64fb39121dc7a63f3139f_medium.jpg,Khung treo bàn cầu WH005A,"5,930,000₫","4,625,400₫",True,https://tototuantu.vn/products/khung-treo-ban-cau-wh005a,2025-04-10 15:15:31,WH005A,WH005A,Khung treo bàn cầu WH005A
"Vòi, Vòi tự động",voi,https://product.hstatic.net/1000238289/product/tle27002a_62a1a49be3a7b_cd6e61c205a34cfca304aba04fdc831a_medium.jpeg,Vòi cảm ứng nhiệt độ TOTO TLE27002A/TLE01502A1/TLN01103A/TLE05701A,"16,200,000₫","12,636,000₫",True,https://tototuantu.vn/products/voi-cam-ung-nhiet-do-toto-tle27002a-tle01502a1-tln01103a-tle05701a,2025-04-10 15:16:37,TLE27002A/TLE01502A1/TLN01103A/TLE05701A,TLE27002A/TLE01502A1/TLN01103A/TLE05701A,Vòi cảm ứng nhiệt độ TOTO TLE27002A/TLE01502A1/TLN01103A/TLE05701A
"Vòi, Vòi Bồn Tắm, Vòi đặt sàn",voi,https://product.hstatic.net/1000238289/product/tbg10306a.tbn01105b_74e8e55172eb45b6b724c6ee742dee3c_92f6fe4524a84f36bc38667f1ea539de_medium.jpg,Vòi xả bồn nóng lạnh TBG10306AA/TBN01105B,"47,490,000₫","37,042,200₫",True,https://tototuantu.vn/products/voi-xa-bon-nong-lanh-tbg10306a-tbn01105b-1,2025-04-10 15:17:44,TBG10306AA/TBN01105B,TBG10306AA/TBN01105B,Vòi xả bồn nóng lạnh TBG10306AA/TBN01105B
"Vòi, Vòi tự động",voi,https://product.hstatic.net/1000238289/product/tle27002a_62a1904caecb9_e171afc9af4544d3836dcff0d86cf3ab_medium.jpeg,Vòi cảm ứng nước lạnh TOTO TLE27002A/TLE03502A1/TLN01102A,"12,390,000₫","9,664,200₫",True,https://tototuantu.vn/products/voi-cam-ung-nuoc-lanh-toto-tle27002a-tle03502a1-tln01102a,2025-04-10 15:18:40,TLE27002A/TLE03502A1/TLN01102A,TLE27002A/TLE03502A1/TLN01102A,Vòi cảm ứng nước lạnh TOTO TLE27002A/TLE03502A1/TLN01102A
"Sen tắm, Sen Âm Tường TOTO, Van điều chỉnh nóng lạnh",sen-tam,https://product.hstatic.net/1000238289/product/tbg02304b_tbn01001b_01_dd88855ea5e7450684e541de7a543dc1_f2b49805086c47829ed066554d735a89_medium.jpg,Van gật gù điều chỉnh nóng lạnh TBG02304B/TBN01001B,"8,270,000₫","6,450,600₫",True,https://tototuantu.vn/products/van-gat-gu-dieu-chinh-nong-lanh-tbg02304b-tbn01001b,2025-04-10 15:19:47,TBG02304BA/TBN01001B,TBG02304BA/TBN01001B,Van gật gù điều chỉnh nóng lạnh TBG02304B/TBN01001B
