categories,category,image_url,name,original_price,price,product_exists,product_url,scraped_at,sku,sku_array,title
"Chậu rửa, Chậu đặt bàn",chau-rua,https://product.hstatic.net/1000238289/product/lt4716mtg19_cmw_bf4f927569f04c3dab3cc928ba4fa921_a4879c1d54e14375a1927e243a5ec465_medium.jpg,Chậu đặt trên bàn cao cấp LT4716MTG19#CMW,"36,033,000₫","28,105,740₫",True,https://tototuantu.vn/products/chau-dat-tren-ban-cao-cap-lt4716mtg19-1,2025-04-10 10:29:58,LT4716MTG19#CMW,LT4716MTG19#CMW,Chậu đặt trên bàn cao cấp LT4716MTG19#CMW
"Chậu rửa, Chậu đặt bàn",chau-rua,https://product.hstatic.net/1000238289/product/lt4716mtg17_cmw_83e8feef07f64e78bfbbfd83f51c1367_d3413d93cb0f412d8807782ec629990a_medium.jpg,Chậu đặt trên bàn cao cấp LT4716MTG17#CMW,"36,033,000₫","28,105,740₫",True,https://tototuantu.vn/products/chau-dat-tren-ban-cao-cap-lt4716mtg17-1,2025-04-10 10:31:24,LT4716MTG17#CMW,LT4716MTG17#CMW,Chậu đặt trên bàn cao cấp LT4716MTG17#CMW
"Chậu rửa, Chậu đặt bàn",chau-rua,https://product.hstatic.net/1000238289/product/upload_0b708bd2b49a4736b8d8596eab3b2769_c78811843b1042deb783abf43bc2f44c_medium.jpg,Chậu Rửa đặt trên bàn LT4716G17,"20,579,000₫","16,051,620₫",True,https://tototuantu.vn/products/chau-dat-tren-ban-cao-cap-lt4716-xw-1,2025-04-10 10:32:41,LT4716G17#XW,LT4716G17#XW,Chậu Rửa đặt trên bàn LT4716G17
"Chậu rửa, Chậu đặt bàn",chau-rua,https://product.hstatic.net/1000238289/product/lt4715mtg19_cmw_8b0b862af35c485abc1e4fc1183fef9d_0085da3645ea4c9d84a94c77cc05d973_medium.jpg,Chậu đặt trên bàn cao cấp LT4715MTG19#CMW,"33,765,000₫","26,336,700₫",True,https://tototuantu.vn/products/chau-dat-tren-ban-cao-cap-lt4715mtg19-1,2025-04-10 10:33:57,LT4715MTG19#CMW,LT4715MTG19#CMW,Chậu đặt trên bàn cao cấp LT4715MTG19#CMW
"Chậu rửa, Chậu đặt bàn",chau-rua,https://product.hstatic.net/1000238289/product/lt4715mtg17_cmw_40205d8ab2924a8ebe2d3f08a10b30c4_7caf2c8dc4be4dee85756574bee1b85c_medium.jpg,Chậu đặt trên bàn cao cấp LT4715,"33,765,000₫","26,336,700₫",True,https://tototuantu.vn/products/chau-dat-tren-ban-cao-cap-lt4715mtg17-1,2025-04-10 10:35:23,LT4715MTG17#CMW,LT4715MTG17#CMW,Chậu đặt trên bàn cao cấp LT4715
"Chậu rửa, Chậu đặt bàn",chau-rua,https://product.hstatic.net/1000238289/product/lt4706mt_cmw_ebef6d89dce64cd29af288d4e8f88d33_498f592afaf54346a0b8626f0eb68717_medium.jpg,Chậu đặt trên bàn cao cấp LT4706MT#CMW,"43,671,000₫","34,063,380₫",True,https://tototuantu.vn/products/chau-dat-tren-ban-cao-cap-lt4706mt-1,2025-04-10 10:36:40,LT4706MT#CMW,LT4706MT#CMW,Chậu đặt trên bàn cao cấp LT4706MT#CMW
"Chậu rửa, Chậu đặt bàn",chau-rua,https://product.hstatic.net/1000238289/product/lt4704mtg17_0983a28a7ec14939b1192dded0e7c5d0_56cc2822eba24e4881a2652dab8bdce2_medium.jpg,Chậu đặt trên bàn cao cấp LT4704MTG17#CMW,"34,982,000₫","27,285,960₫",True,https://tototuantu.vn/products/chau-dat-tren-ban-cao-cap-lt4704mtg7-1,2025-04-10 10:38:06,LT4704MTG17#CMW,LT4704MTG17#CMW,Chậu đặt trên bàn cao cấp LT4704MTG17#CMW
"Chậu rửa, Chậu đặt bàn",chau-rua,https://product.hstatic.net/1000238289/product/lt4704g19_d3654300a80541e895d7bcd81fd8fb60_medium.png,Chậu đặt trên bàn cao cấp LT4704G19,"19,980,000₫","15,584,400₫",True,https://tototuantu.vn/products/chau-dat-tren-ban-cao-cap-lt4704g19-xw-1,2025-04-10 10:39:23,LT4704G19#XW,LT4704G19#XW,Chậu đặt trên bàn cao cấp LT4704G19
"Chậu rửa, Chậu đặt bàn",chau-rua,https://product.hstatic.net/1000238289/product/lt4704g17_1084284df75449ef9647dd959a492664_6a3f7290edd64a25af84b90526a681a6_medium.jpg,Chậu đặt trên bàn cao cấp LT4704G17,"19,980,000₫","15,584,400₫",True,https://tototuantu.vn/products/chau-dat-tren-ban-cao-cap-lt4704g17-xw-1,2025-04-10 10:40:40,LT4704G17#XW,LT4704G17#XW,Chậu đặt trên bàn cao cấp LT4704G17
"Chậu rửa, Chậu đặt bàn",chau-rua,https://product.hstatic.net/1000238289/product/lt1615c_9c48e88e33c64c70803b238b869ae987_642d263a14224e0293f3373760f265ec_medium.jpg,Chậu đặt trên bàn 3 lỗ LT1615K,"7,177,000₫","5,598,060₫",True,https://tototuantu.vn/products/chau-dat-tren-ban-3-lo-lt1615k-xw-1,2025-04-10 10:42:07,LT1615K#XW,LT1615K#XW,Chậu đặt trên bàn 3 lỗ LT1615K
